,artist_uid,event_list,num_event,fav_venue,num_event_fav_venue,start_active_year,end_active_year,event_per_year,num_year_active
8822,786803,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8821,383245,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8820,305392,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8819,64197,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8818,8903726,[16500380],1,Scott Charmin Gallery,1,2015,2015,1.0,1
8816,1476075,[16492941],1,Contemporary Arts Museum Houston,1,2017,2017,1.0,1
8831,12569423,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8815,6280179,[16486711],1,Inman Gallery,1,2012,2012,1.0,1
8814,3179501,[16484488],1,Menil Collection,1,2010,2010,1.0,1
8813,312405,[16473930],1,Fresh Arts,1,2013,2013,1.0,1
8812,14355418,[16472607],1,Foltz Fine Art,1,2012,2012,1.0,1
8811,7462420,[16469824],1,"Museum of Fine Arts, Houston (MFAH)",1,2008,2008,1.0,1
8810,13336424,[16466209],1,Moody Gallery,1,2014,2014,1.0,1
8809,3833814,[16457839],1,Hellbox Gallery,1,2015,2015,1.0,1
8808,16135796,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8807,15692078,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8806,11902119,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8805,9525167,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8804,8434999,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8830,11618350,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8832,13010620,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8863,10793594,[16561198],1,Canal Street Gallery,1,2009,2009,1.0,1
8847,16106219,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8861,5011069,[16555691],1,Bryan Miller Gallery,1,2011,2011,1.0,1
8860,15619893,[16555345],1,The Printing Museum,1,2015,2015,1.0,1
8858,688035,[16546386],1,Blaffer Art Museum (UH),1,2018,2018,1.0,1
8857,4779332,[16545702],1,Inferno Gallery (Rice University),1,2017,2017,1.0,1
8856,7167882,[16540680],1,Bryan Miller Gallery,1,2011,2011,1.0,1
8855,16740136,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8854,15141210,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8853,11117499,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8852,8492419,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8851,6395488,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8850,5835345,[16540672],1,The H Gallery,1,2010,2010,1.0,1
8848,4655818,[16539187],1,Russian Cultural Center - Our Texas,1,2012,2012,1.0,1
8846,15431136,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8833,13245150,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8845,11855495,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8844,6277196,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8843,6240671,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8842,4775584,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8841,82771,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8840,53184,[16535183],1,Canal Street Gallery,1,2011,2011,1.0,1
8839,15530216,[16510064],1,"Museum of Fine Arts, Houston (MFAH)",1,2012,2012,1.0,1
8838,10899974,[16510064],1,"Museum of Fine Arts, Houston (MFAH)",1,2012,2012,1.0,1
8837,16669073,[16509779],1,Jonathan Hopson Gallery,1,2017,2017,1.0,1
8836,8414852,[16509420],1,Domy Books,1,2010,2010,1.0,1
8835,2439633,[16505586],1,Houston Center for Contemporary Craft,1,2015,2015,1.0,1
8834,13343412,[16502524],1,Mother Dog Studios,1,2010,2010,1.0,1
8803,1102522,[16456939],1,Gallery 1724,1,2013,2013,1.0,1
8802,4352599,[16455143],1,Blaffer Art Museum (UH),1,2008,2008,1.0,1
8801,1355759,[16453695],1,Aurora Picture Show,1,2013,2013,1.0,1
8757,10536026,[16288952],1,Rice University,1,2012,2012,1.0,1
8770,10165817,[16326905],1,Wade Wilson Art,1,2010,2010,1.0,1
8769,7920644,[16315891],1,Blaffer Art Museum (UH),1,2014,2014,1.0,1
8767,10986576,[16309965],1,Houston Center for Photography,1,2008,2008,1.0,1
8766,6877507,[16306498],1,College Art Gallery (HCC Northline),1,2011,2011,1.0,1
8765,16543633,[16305521],1,Lawndale Art Center,1,2008,2008,1.0,1
8764,10248477,[16305521],1,Lawndale Art Center,1,2008,2008,1.0,1
8763,2556055,[16305521],1,Lawndale Art Center,1,2008,2008,1.0,1
8762,14972443,[16303579],1,18 Hands Gallery,1,2012,2012,1.0,1
8761,9024313,[16302857],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8760,1571031,[16301852],1,Glassell School of Art,1,2011,2011,1.0,1
8759,7783346,[16290878],1,Hello Project,1,2014,2014,1.0,1
8758,3233416,[16290878],1,Hello Project,1,2014,2014,1.0,1
8756,7427510,[16288952],1,Rice University,1,2012,2012,1.0,1
8800,13354204,[16453000],1,Contemporary Arts Museum Houston,1,2015,2015,1.0,1
8755,6976816,[16288952],1,Rice University,1,2012,2012,1.0,1
8754,14865967,[16286460],1,Spring Street Studios,1,2012,2012,1.0,1
8753,3338050,[16286460],1,Spring Street Studios,1,2012,2012,1.0,1
8752,16637296,[16284902],1,Rudolph Blume Fine Art | ArtScan Gallery,1,2010,2010,1.0,1
8751,11345766,[16284902],1,Rudolph Blume Fine Art | ArtScan Gallery,1,2010,2010,1.0,1
8750,10633331,[16281086],1,Commerce Street Artists Warehouse,1,2007,2007,1.0,1
8749,10407218,[16281086],1,Commerce Street Artists Warehouse,1,2007,2007,1.0,1
8748,3301971,[16281086],1,Commerce Street Artists Warehouse,1,2007,2007,1.0,1
8747,726485,[16281086],1,Commerce Street Artists Warehouse,1,2007,2007,1.0,1
8746,706256,[16277089],1,Galveston Artist Residency,1,2012,2012,1.0,1
8745,10896155,[16276782],1,Richmond Hall (Menil Collection),1,2016,2016,1.0,1
8744,15041163,[16272393],1,Menil Collection,1,2012,2012,1.0,1
8771,1880067,[16336909],1,Brown Auditorium Theater (MFAH),1,2012,2012,1.0,1
8772,12075697,[16336909],1,Brown Auditorium Theater (MFAH),1,2012,2012,1.0,1
8773,14731353,[16336909],1,Brown Auditorium Theater (MFAH),1,2012,2012,1.0,1
8774,15934120,[16336909],1,Brown Auditorium Theater (MFAH),1,2012,2012,1.0,1
8799,4647425,[16452711],1,Gremillion & Co. Fine Art,1,2012,2012,1.0,1
8798,847558,[16442936],1,Bryan Miller Gallery,1,2011,2011,1.0,1
8797,212261,[16442936],1,Bryan Miller Gallery,1,2011,2011,1.0,1
8796,11955490,[16435261],1,Rice University Art Gallery (Rice University),1,2013,2013,1.0,1
8795,10221578,[16412636],1,Menil Collection,1,2013,2013,1.0,1
8794,14972282,[16405005],1,4th Floor Projects Gallery (UH),1,2008,2008,1.0,1
8793,14751418,[16398938],1,Texas Gallery,1,2013,2013,1.0,1
8792,3349399,[16395090],1,Gallery Sonja Roesch,1,2009,2009,1.0,1
8791,216188,[16392429],1,"Museum of Fine Arts, Houston (MFAH)",1,2012,2012,1.0,1
8790,10087496,[16391819],1,Houston Center for Photography,1,2012,2012,1.0,1
8789,11922356,[16386935],1,Booker-Lowe Gallery,1,2011,2011,1.0,1
8788,6416601,[16378709],1,Aurora Picture Show,1,2011,2011,1.0,1
8787,4923143,[16378709],1,Aurora Picture Show,1,2011,2011,1.0,1
8786,4117145,[16378709],1,Aurora Picture Show,1,2011,2011,1.0,1
8785,1001321,[16378709],1,Aurora Picture Show,1,2011,2011,1.0,1
8784,16326665,[16372377],1,"Museum of Fine Arts, Houston (MFAH)",1,2008,2008,1.0,1
8783,5523302,[16372377],1,"Museum of Fine Arts, Houston (MFAH)",1,2008,2008,1.0,1
8782,15716447,[16366472],1,Contemporary Arts Museum Houston,1,2008,2008,1.0,1
8781,8981703,[16354818],1,Spacetaker Gallery,1,2012,2012,1.0,1
8780,3146222,[16350700],1,Pearl Fincher Museum of Fine Arts,1,2012,2012,1.0,1
8779,14147228,[16347527],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8778,3554644,[16347527],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8777,3527334,[16347527],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8776,2302415,[16347527],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8775,257124,[16347527],1,BOX 13 ArtSpace,1,2016,2016,1.0,1
8862,11225350,[16555691],1,Bryan Miller Gallery,1,2011,2011,1.0,1
8864,4187376,[16561246],1,Project Row Houses,1,2013,2013,1.0,1
8505,14131039,[15681580],1,Gallery Sonja Roesch,1,2008,2008,1.0,1
8938,1327759,[16698615],1,McMurtrey Gallery,1,2009,2009,1.0,1
8950,12269771,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8949,11261783,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8948,10241469,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8947,9848588,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8946,9675727,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8945,8961166,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8944,8801356,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8943,7813159,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8942,6028121,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8941,5479999,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8940,3636136,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8939,1317777,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8937,11119903,[16690207],1,Laura Rathe Fine Art,1,2018,2018,1.0,1
8952,13944523,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8936,9646552,[16690090],1,Menil Collection,1,2014,2014,1.0,1
8935,7139700,[16690090],1,Menil Collection,1,2014,2014,1.0,1
8934,4645657,[16690090],1,Menil Collection,1,2014,2014,1.0,1
8933,124599,[16690090],1,Menil Collection,1,2014,2014,1.0,1
8932,10111211,[16684434],1,Menil Collection,1,2010,2010,1.0,1
8931,292280,[16676655],1,Houston Center for Photography,1,2008,2008,1.0,1
8930,8366007,[16674103],1,DiverseWorks,1,2016,2016,1.0,1
8929,2856748,[16671095],1,Blackburn Music,1,2012,2012,1.0,1
8928,1584351,[16671095],1,Blackburn Music,1,2012,2012,1.0,1
8927,1485,[16671095],1,Blackburn Music,1,2012,2012,1.0,1
8926,9374787,[16662872],1,Brazos Bookstore,1,2016,2016,1.0,1
8925,4188432,[16662872],1,Brazos Bookstore,1,2016,2016,1.0,1
8951,13886775,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8953,14262675,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8865,6470708,[16561246],1,Project Row Houses,1,2013,2013,1.0,1
8968,3300008,[16740273],1,The Temple,1,2011,2011,1.0,1
8980,3657163,[16772358],1,Hellbox Gallery,1,2015,2015,1.0,1
8979,10002256,[16768703],1,2347 North Boulevard,1,2018,2018,1.0,1
8978,6657429,[16765220],1,Orange Show Center for Visionary Art,1,2012,2012,1.0,1
8977,10661022,[16764873],1,Gallery Two1Four,1,2012,2012,1.0,1
8976,7158136,[16762797],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8975,7052698,[16762797],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8974,6676727,[16762797],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8973,6397955,[16762797],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8972,12611955,[16748932],1,Rice Media Center (Rice University),1,2013,2013,1.0,1
8971,9269158,[16748932],1,Rice Media Center (Rice University),1,2013,2013,1.0,1
8970,4600960,[16748932],1,Rice Media Center (Rice University),1,2013,2013,1.0,1
8969,6967331,[16741179],1,"Museum of Fine Arts, Houston (MFAH)",1,2013,2013,1.0,1
8967,6307404,[16734770],1,Redbud Gallery,1,2007,2007,1.0,1
8954,14736240,[16709925],1,The Sculpture Workshop Houston,1,2013,2013,1.0,1
8966,12339501,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8965,11224022,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8964,10032508,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8963,9207058,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8962,8619999,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8961,195103,[16729065],1,Glassell School of Art,1,2011,2011,1.0,1
8960,6191098,[16721770],1,Glassell School of Art,1,2011,2011,1.0,1
8959,2733346,[16721770],1,Glassell School of Art,1,2011,2011,1.0,1
8958,2395934,[16721770],1,Glassell School of Art,1,2011,2011,1.0,1
8957,1580896,[16721770],1,Glassell School of Art,1,2011,2011,1.0,1
8956,4134028,[16716023],1,Moody Gallery,1,2012,2012,1.0,1
8955,4800375,[16715008],1,Fresh Arts,1,2013,2013,1.0,1
8924,1952178,[16662872],1,Brazos Bookstore,1,2016,2016,1.0,1
8923,12547926,[16651920],1,Rice University Art Gallery (Rice University),1,2012,2012,1.0,1
8922,6956340,[16651920],1,Rice University Art Gallery (Rice University),1,2012,2012,1.0,1
8879,1715061,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8891,14214318,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8890,13594538,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8889,13126277,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8888,12753122,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8887,12665242,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8886,11328916,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8885,9533483,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8884,9470688,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8883,7594781,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8882,7424499,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8881,3642324,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8880,3629981,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8878,9756979,[16597072],1,Goldesberry Gallery,1,2012,2012,1.0,1
8921,6516369,[16650853],1,Notsuoh,1,2016,2016,1.0,1
8877,15996179,[16595864],1,Deborah Colton Gallery,1,2008,2008,1.0,1
8876,13266011,[16595864],1,Deborah Colton Gallery,1,2008,2008,1.0,1
8875,11172194,[16595864],1,Deborah Colton Gallery,1,2008,2008,1.0,1
8874,991930,[16576674],1,BOX 13 ArtSpace,1,2012,2012,1.0,1
8873,16076693,[16570231],1,Black Swan Screen Printing,1,2012,2012,1.0,1
8872,10125521,[16570231],1,Black Swan Screen Printing,1,2012,2012,1.0,1
8871,3145592,[16570231],1,Black Swan Screen Printing,1,2012,2012,1.0,1
8870,1049842,[16570231],1,Black Swan Screen Printing,1,2012,2012,1.0,1
8869,8018256,[16568335],1,Buchanan Gallery,1,2012,2012,1.0,1
8868,15837303,[16561246],1,Project Row Houses,1,2013,2013,1.0,1
8867,15041032,[16561246],1,Project Row Houses,1,2013,2013,1.0,1
8866,12245348,[16561246],1,Project Row Houses,1,2013,2013,1.0,1
8892,15757769,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8893,16456629,[16603383],1,Station Museum of Contemporary Art,1,2012,2012,1.0,1
8894,12081229,[16603426],1,G Gallery,1,2014,2014,1.0,1
8895,26134,[16608075],1,New Gallery/Thom Andriola,1,2010,2010,1.0,1
8920,6039140,[16650853],1,Notsuoh,1,2016,2016,1.0,1
8919,15063646,[16649540],1,Galveston Arts Center,1,2018,2018,1.0,1
8918,1266998,[16648645],1,Darke Gallery,1,2010,2010,1.0,1
8917,6622492,[16646287],1,Hiram Butler Gallery,1,2015,2015,1.0,1
8916,16750140,[16639192],1,Jung Center,1,2012,2012,1.0,1
8915,16110850,[16639192],1,Jung Center,1,2012,2012,1.0,1
8914,12335103,[16639192],1,Jung Center,1,2012,2012,1.0,1
8913,11041530,[16639192],1,Jung Center,1,2012,2012,1.0,1
8912,9157172,[16639192],1,Jung Center,1,2012,2012,1.0,1
8911,7734261,[16639192],1,Jung Center,1,2012,2012,1.0,1
8910,6098510,[16639192],1,Jung Center,1,2012,2012,1.0,1
8909,4545787,[16639192],1,Jung Center,1,2012,2012,1.0,1
8908,2880484,[16639192],1,Jung Center,1,2012,2012,1.0,1
8907,1763102,[16639192],1,Jung Center,1,2012,2012,1.0,1
8906,2947470,[16638242],1,Galveston Artist Residency,1,2014,2014,1.0,1
8905,6653075,[16634461],1,Menil Collection,1,2010,2010,1.0,1
8904,15826406,[16632462],1,Alliance Gallery (Houston Arts Alliance),1,2013,2013,1.0,1
8903,3634633,[16628325],1,Rudolph Blume Fine Art | ArtScan Gallery,1,2007,2007,1.0,1
8902,15355542,[16627500],1,Kinzelman Art Consulting,1,2010,2010,1.0,1
8901,7463199,[16620290],1,Kaboom Books,1,2012,2012,1.0,1
8900,7215596,[16620290],1,Kaboom Books,1,2012,2012,1.0,1
8899,7130276,[16620267],1,Anya Tish Gallery,1,2015,2015,1.0,1
8898,2026866,[16620267],1,Anya Tish Gallery,1,2015,2015,1.0,1
8897,1242101,[16616407],1,Art Gallery (LSC Kingwood),1,2009,2009,1.0,1
8896,8972993,[16615523],1,Station Museum of Contemporary Art,1,2018,2018,1.0,1
8743,9230962,[16272393],1,Menil Collection,1,2012,2012,1.0,1
8742,6026788,[16272393],1,Menil Collection,1,2012,2012,1.0,1
8741,4971344,[16272393],1,Menil Collection,1,2012,2012,1.0,1
8579,2708188,[15934603],1,Houston Center for Photography,1,2018,2018,1.0,1
8591,14340170,[15973954],1,SKYDIVE,1,2008,2008,1.0,1
8590,5637292,[15973954],1,SKYDIVE,1,2008,2008,1.0,1
8589,3087736,[15973954],1,SKYDIVE,1,2008,2008,1.0,1
8588,2058520,[15973954],1,SKYDIVE,1,2008,2008,1.0,1
8587,1839918,[15969907],1,Zoya Tommy Contemporary,1,2013,2013,1.0,1
8586,14418292,[15967319],1,Silver Street Studios,1,2010,2010,1.0,1
8585,3909628,[15967319],1,Silver Street Studios,1,2010,2010,1.0,1
8584,2812204,[15963930],1,Winter Street Studios,1,2010,2010,1.0,1
8583,2429497,[15963930],1,Winter Street Studios,1,2010,2010,1.0,1
8582,12995631,[15961585],1,Houston Center for Photography,1,2014,2014,1.0,1
8581,5424537,[15951757],1,DeSantos Gallery,1,2010,2010,1.0,1
8580,8981843,[15942638],1,Art League Houston,1,2010,2010,1.0,1
8578,5844568,[15918187],1,Redbud Gallery,1,2011,2011,1.0,1
8593,10717972,[15988632],1,Menil Collection,1,2013,2013,1.0,1
8577,4738300,[15918086],1,MECA,1,2012,2012,1.0,1
8575,13697355,[15896007],1,Bryan Miller Gallery,1,2009,2009,1.0,1
8574,7126156,[15888839],1,DiverseWorks,1,2015,2015,1.0,1
8573,7806623,[15887483],1,Holocaust Museum Houston,1,2012,2012,1.0,1
8572,9345432,[15872959],1,David Shelton Gallery,1,2010,2010,1.0,1
8571,16434217,[15865329],1,Serrano Gallery,1,2017,2017,1.0,1
8570,11886358,[15864437],1,Redbud Gallery,1,2015,2015,1.0,1
8569,8359811,[15863120],1,Pearl Fincher Museum of Fine Arts,1,2017,2017,1.0,1
8568,4560031,[15861481],1,DiverseWorks,1,2013,2013,1.0,1
8567,14896114,[15853388],1,Peveto,1,2013,2013,1.0,1
8566,10281315,[15853388],1,Peveto,1,2013,2013,1.0,1
8565,10814099,[15848768],1,Lawndale Art Center,1,2007,2007,1.0,1
8592,161784,[15988632],1,Menil Collection,1,2013,2013,1.0,1
8594,14694532,[15988632],1,Menil Collection,1,2013,2013,1.0,1
8740,14734208,[16267365],1,Redbud Gallery,1,2011,2011,1.0,1
8609,7716291,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8621,15616842,[16046828],1,Bea Ying Projects Pop-Up Gallery,1,2014,2014,1.0,1
8620,11181691,[16042013],1,Blaffer Art Museum (UH),1,2013,2013,1.0,1
8619,4386181,[16042013],1,Blaffer Art Museum (UH),1,2013,2013,1.0,1
8618,12111334,[16036477],1,Redbud Gallery,1,2012,2012,1.0,1
8617,8835938,[16034872],1,Art Palace,1,2008,2008,1.0,1
8616,7829986,[16033719],1,Asia Society Texas Center,1,2018,2018,1.0,1
8615,5530803,[16033258],1,Archway Gallery,1,2016,2016,1.0,1
8614,1935921,[16033258],1,Archway Gallery,1,2016,2016,1.0,1
8613,9324491,[16020428],1,space125gallery (Houston Arts Alliance),1,2011,2011,1.0,1
8612,14072344,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8611,11963169,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8610,10247245,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8608,7096251,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8595,11792207,[15990651],1,Texas Collaborative Arts,1,2009,2009,1.0,1
8607,4318912,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8606,3285533,[16019472],1,DiverseWorks,1,2011,2011,1.0,1
8605,15796420,[16019337],1,Station Museum of Contemporary Art,1,2017,2017,1.0,1
8604,4336746,[16018540],1,Moody Gallery,1,2015,2015,1.0,1
8603,15738560,[16015785],1,Discovery Green,1,2012,2012,1.0,1
8602,3858920,[16015635],1,Gallery Sonja Roesch,1,2014,2014,1.0,1
8601,3148929,[16011067],1,Nicole Longnecker Gallery,1,2016,2016,1.0,1
8600,119450,[16003834],1,Lawndale Art Center,1,2009,2009,1.0,1
8599,15589120,[16002342],1,Aurora Picture Show,1,2013,2013,1.0,1
8598,11083190,[16002342],1,Aurora Picture Show,1,2013,2013,1.0,1
8597,8724164,[16001261],1,Blaffer Art Museum (UH),1,2010,2010,1.0,1
8596,7192352,[15997850],1,Houston Museum of African American Culture,1,2019,2019,1.0,1
8564,3061214,[15848231],1,DeSantos Gallery,1,2011,2011,1.0,1
8563,11321893,[15847134],1,McMurtrey Gallery,1,2015,2015,1.0,1
8562,10272852,[15842249],1,East End Studio Gallery,1,2012,2012,1.0,1
8519,11504170,[15725231],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8531,8053139,[15762958],1,BLUEorange Contemporary,1,2013,2013,1.0,1
8530,5637915,[15759641],1,Archway Gallery,1,2010,2010,1.0,1
8529,11066021,[15745538],1,Koelsch Gallery,1,2009,2009,1.0,1
8528,4409308,[15744526],1,Art League Houston,1,2012,2012,1.0,1
8527,8864442,[15740602],1,Cardoza Fine Art,1,2016,2016,1.0,1
8526,8194679,[15739852],1,Deborah Colton Gallery,1,2014,2014,1.0,1
8525,6250686,[15739852],1,Deborah Colton Gallery,1,2014,2014,1.0,1
8524,7236465,[15736143],1,Moody Gallery,1,2008,2008,1.0,1
8523,7227056,[15733925],1,Menil Collection,1,2007,2007,1.0,1
8522,4481060,[15733925],1,Menil Collection,1,2007,2007,1.0,1
8521,7177661,[15729030],1,Art League Houston,1,2016,2016,1.0,1
8520,12893399,[15725231],1,"Museum of Fine Arts, Houston (MFAH)",1,2011,2011,1.0,1
8518,15866612,[15723825],1,Moody Gallery,1,2013,2013,1.0,1
8561,4622817,[15842249],1,East End Studio Gallery,1,2012,2012,1.0,1
8517,4302692,[15723825],1,Moody Gallery,1,2013,2013,1.0,1
8516,11253990,[15718173],1,Art League Houston,1,2015,2015,1.0,1
8515,11575103,[15718121],1,Nancy Littlejohn Fine Art,1,2019,2019,1.0,1
8514,13676869,[15718037],1,"Museum of Fine Arts, Houston (MFAH)",1,2016,2016,1.0,1
8513,905710,[15711810],1,Art League Houston,1,2019,2019,1.0,1
8512,10124419,[15698858],1,Molly Gotchman Studio,1,2011,2011,1.0,1
8511,12800041,[15696916],1,Contemporary Arts Museum Houston,1,2015,2015,1.0,1
8510,2249285,[15696916],1,Contemporary Arts Museum Houston,1,2015,2015,1.0,1
8509,1770249,[15696916],1,Contemporary Arts Museum Houston,1,2015,2015,1.0,1
8508,13395377,[15691654],1,Lone Star College - North Harris,1,2012,2012,1.0,1
8507,10505411,[15691654],1,Lone Star College - North Harris,1,2012,2012,1.0,1
8506,5436454,[15691654],1,Lone Star College - North Harris,1,2012,2012,1.0,1
8532,13019378,[15762958],1,BLUEorange Contemporary,1,2013,2013,1.0,1
8533,12045654,[15763838],1,Amplify Sugar Land - Crossbridge Gallery,1,2011,2011,1.0,1
8534,12651113,[15766076],1,Houston Center for Contemporary Craft,1,2013,2013,1.0,1
8535,13426369,[15769760],1,Meredith Long and Company,1,2014,2014,1.0,1
8560,7519297,[15839129],1,Peel Gallery,1,2010,2010,1.0,1
8559,2594235,[15835640],1,Contemporary Arts Museum Houston,1,2007,2007,1.0,1
8558,7498901,[15812121],1,Anya Tish Gallery,1,2011,2011,1.0,1
8557,5883595,[15812121],1,Anya Tish Gallery,1,2011,2011,1.0,1
8556,1092102,[15803923],1,Anya Tish Gallery,1,2015,2015,1.0,1
8555,16628681,[15800513],1,Williams Tower Gallery,1,2012,2012,1.0,1
8554,13965675,[15800513],1,Williams Tower Gallery,1,2012,2012,1.0,1
8553,11576131,[15798620],1,Spring Street Studios,1,2015,2015,1.0,1
8552,3594852,[15798620],1,Spring Street Studios,1,2015,2015,1.0,1
8551,11183516,[15797991],1,Forum6,1,2018,2018,1.0,1
8550,10866077,[15797169],1,space125gallery (Houston Arts Alliance),1,2008,2008,1.0,1
8549,10819005,[15795995],1,Contemporary Arts Museum Houston,1,2015,2015,1.0,1
8548,14138415,[15795074],1,Redbud Gallery,1,2016,2016,1.0,1
8547,16547301,[15794611],1,DeSantos Gallery,1,2010,2010,1.0,1
8546,15139652,[15786278],1,Silver Street Studios,1,2007,2007,1.0,1
8545,14829274,[15785480],1,DiverseWorks,1,2012,2012,1.0,1
8544,13929436,[15785480],1,DiverseWorks,1,2012,2012,1.0,1
8543,10380054,[15785480],1,DiverseWorks,1,2012,2012,1.0,1
8542,2654394,[15785480],1,DiverseWorks,1,2012,2012,1.0,1
8541,2181884,[15785480],1,DiverseWorks,1,2012,2012,1.0,1
8540,14654571,[15783172],1,Project Row Houses,1,2007,2007,1.0,1
8539,10341164,[15783172],1,Project Row Houses,1,2007,2007,1.0,1
8538,6480178,[15779729],1,College of the Mainland Art Gallery (CoM),1,2018,2018,1.0,1
8537,9989921,[15773979],1,Blaffer Art Museum (UH),1,2016,2016,1.0,1
8536,1593614,[15772671],1,Hooks-Epstein Galleries,1,2016,2016,1.0,1
8622,15120657,[16056566],1,Blaffer Art Museum (UH),1,2017,2017,1.0,1
8623,2371129,[16056966],1,East End Studio Gallery,1,2013,2013,1.0,1
8624,10730876,[16061116],1,Redbud Gallery,1,2009,2009,1.0,1
8698,3977303,[16163888],1,Front Gallery,1,2012,2012,1.0,1
8710,411851,[16225844],1,Blaffer Art Museum (UH),1,2009,2009,1.0,1
8709,5450822,[16217480],1,G Gallery,1,2013,2013,1.0,1
8708,11684667,[16214720],1,Menil Collection,1,2010,2010,1.0,1
8707,3522493,[16214720],1,Menil Collection,1,2010,2010,1.0,1
8706,15325549,[16205656],1,The Joanna Gallery,1,2011,2011,1.0,1
8705,12441216,[16194100],1,Daniel Sandoval Contemporary,1,2007,2007,1.0,1
